id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
17,SK에너지,(유)동하석유 힐탑셀프주유소,서울,강남구,서울 강남구 논현로 640,1797,1727,1,1,0,0,0,1,37.51068870000000,127.03256890000000
18,GS칼텍스,세진에너지(주) 개포주유소,서울,강남구,서울 강남구 양재대로 339,1888,1728,1,1,0,0,0,0,37.47224090000000,127.05151340000000
19,GS칼텍스,지에스칼텍스㈜ 삼성로주유소,서울,강남구,서울 강남구 삼성로 563 (삼성동),1939,1899,1,1,0,0,0,1,37.51397499999999,127.05612740000000
20,현대오일뱅크,HD현대오일뱅크㈜직영 신사현대주유소,서울,강남구,서울 강남구 도산대로 163 (신사동),1948,1884,1,0,0,0,0,0,37.51952050000000,127.02631710000000
21,GS칼텍스,지에스칼텍스㈜ 은마주유소,서울,강남구,서울 강남구 영동대로 235,1954,1919,1,0,0,1,0,1,37.50007210000000,127.06728480000000
22,GS칼텍스,대성석유(주)동호주유소,서울,강남구,서울 강남구 봉은사로113길 51,2049,1942,1,0,0,0,0,0,37.51848600000000,127.06466550000000
23,GS칼텍스,지에스칼텍스(주)학여울주유소,서울,강남구,서울 강남구 남부순환로 3170 (일원2동),2089,2015,1,0,0,0,0,0,37.49467620000000,127.07783050000000
24,현대오일뱅크,HD현대오일뱅크㈜직영 한양주유소,서울,강남구,서울 강남구 압구정로 302 (신사동),2173,2096,1,0,0,0,0,0,37.52886810000000,127.03410460000000
25,S-OIL,명품주유소,서울,강남구,서울 강남구 도곡로 249 (역삼동),2178,2067,1,1,0,0,0,1,37.49427040000000,127.04550930000000
26,SK에너지,대청주유소,서울,강남구,서울 강남구 개포로 654 (일원동),2195,2086,1,0,0,0,0,0,37.49247370000001,127.08567900000000
27,GS칼텍스,(주)소모 쎈트럴주유소,서울,강남구,서울 강남구 삼성로 335,2195,2086,1,0,0,0,0,0,37.50142090000000,127.05914080000000
28,현대오일뱅크,㈜새서울석유 새서울주유소,서울,강남구,서울 강남구 압구정로 154,2198,1998,1,0,0,0,0,1,37.52583500000000,127.02654220000000
29,SK에너지,SK논현주유소,서울,강남구,서울 강남구 논현로 747 (논현동),2450,2295,1,0,0,1,0,1,37.51863680000000,127.02823800000000
30,현대오일뱅크,(주)제이제이네트웍스 제이제이주유소,서울,강남구,서울 강남구 언주로 716,2580,2430,1,0,0,0,0,1,37.51764720000000,127.03573490000000
31,GS칼텍스,(주)만정에너지 삼보주유소,서울,강남구,서울 강남구 봉은사로 433 (삼성동),2598,2560,1,0,0,0,0,0,37.51152070000000,127.04717160000000
32,현대오일뱅크,재건에너지 재정제2주유소 고속셀프지점,서울,강동구,서울특별시 강동구  천호대로 1246 (둔촌제2동),1649,1549,1,1,0,0,0,0,37.53651330000000,127.14935880000000
33,SK에너지,방아다리주유소,서울,강동구,서울 강동구 동남로 811 (명일동),1665,1575,1,1,0,0,0,0,37.54904450000000,127.15082290000000
34,GS칼텍스,(주)소모 신월주유소,서울,강동구,서울 강동구 양재대로 1323 (성내동),1686,1588,1,1,0,0,0,0,37.53049330000000,127.12899200000000
35,GS칼텍스,(주)삼표에너지 고덕주유소,서울,강동구,서울 강동구 고덕로 39 (암사동),1695,1595,1,1,0,0,1,0,37.55504900000000,127.12979290000000
36,GS칼텍스,대성석유(주)길동주유소,서울,강동구,서울 강동구 천호대로 1168,1696,1598,1,0,0,0,0,0,37.53342290000000,127.14117250000000
37,SK에너지,sk해뜨는주유소,서울,강동구,서울 강동구  상일로 132 (강일동),1699,1609,1,1,0,1,0,0,37.55450850000000,127.17241540000000
